交易日期,合约代码,昨结算,Open,High,Low,Close,今结算,涨跌1,涨跌2,Volume,OpenInterest,增减量,成交额(万元),交割结算价
2024-01-02,AP401,8833.0,8743.0,8988.0,8743.0,8885.0,8893.0,52.0,60.0,175,378,-216,1556.29,8984.0
2024-01-02,AP403,8239.0,8198.0,8278.0,8160.0,8237.0,8238.0,-2.0,-1.0,517,3757,-77,4259.18,
2024-01-02,AP404,8202.0,8198.0,8272.0,8185.0,8251.0,8231.0,49.0,29.0,55,1308,-6,452.71,
2024-01-02,AP405,8216.0,8130.0,8267.0,8113.0,8231.0,8219.0,15.0,3.0,61984,91992,-8661,509440.68,
2024-01-02,AP410,8345.0,8325.0,8389.0,8320.0,8367.0,8365.0,22.0,20.0,424,4073,24,3546.57,
2024-01-02,AP411,7988.0,7972.0,8019.0,7972.0,8012.0,8005.0,24.0,17.0,164,2148,70,1312.82,
2024-01-02,AP412,8051.0,8020.0,8062.0,8003.0,8028.0,8021.0,-23.0,-30.0,31,49,3,248.64,
2024-01-02,CF401,15470.0,15475.0,15520.0,15395.0,15500.0,15470.0,30.0,0.0,12280,83134,-10479,94852.76,15430.0
2024-01-02,CF403,15520.0,15475.0,15585.0,15450.0,15555.0,15515.0,35.0,-5.0,31840,196753,1377,247027.76,
2024-01-02,CF405,15550.0,15510.0,15630.0,15480.0,15600.0,15555.0,50.0,5.0,188206,672453,-3212,1463570.11,
2024-01-02,CF407,15540.0,15505.0,15635.0,15505.0,15610.0,15565.0,70.0,25.0,4658,28261,-1230,36249.76,
2024-01-02,CF409,15725.0,15650.0,15820.0,15650.0,15780.0,15740.0,55.0,15.0,19564,70067,694,153968.83,
2024-01-02,CF411,15740.0,15665.0,15790.0,15665.0,15760.0,15730.0,20.0,-10.0,929,4409,-787,7306.52,
2024-01-02,CJ401,14750.0,14700.0,14810.0,14540.0,14755.0,14735.0,5.0,-15.0,76,415,-475,559.9,14670.0
2024-01-02,CJ403,14880.0,14765.0,15045.0,14765.0,14890.0,14885.0,10.0,5.0,370,5361,-152,2753.42,
2024-01-02,CJ405,15155.0,15100.0,15300.0,15025.0,15120.0,15150.0,-35.0,-5.0,28696,69622,573,217367.91,
2024-01-02,CJ407,15465.0,15405.0,15560.0,15350.0,15430.0,15450.0,-35.0,-15.0,714,5540,145,5514.91,
2024-01-02,CJ409,15630.0,15575.0,15740.0,15515.0,15595.0,15615.0,-35.0,-15.0,4257,25603,216,33232.3,
2024-01-02,CJ412,14705.0,14620.0,14935.0,14590.0,14860.0,14785.0,155.0,80.0,459,1930,193,3393.02,
2024-01-02,CY401,20495.0,20535.0,20600.0,20165.0,20550.0,20410.0,55.0,-85.0,46,884,-21,469.39,20610.0
2024-01-02,CY402,21295.0,20525.0,20685.0,20360.0,20540.0,20500.0,-755.0,-795.0,23,67,-2,235.74,
2024-01-02,CY403,21465.0,0.0,0.0,0.0,0.0,21465.0,0.0,0.0,0,5,0,0.0,
2024-01-02,CY404,21445.0,0.0,0.0,0.0,0.0,21365.0,-80.0,-80.0,0,2,0,0.0,
2024-01-02,CY405,21240.0,21235.0,21340.0,21140.0,21340.0,21235.0,100.0,-5.0,1938,3443,324,20577.51,
2024-01-02,CY406,21160.0,0.0,0.0,0.0,0.0,21160.0,0.0,0.0,0,0,0,0.0,
2024-01-02,CY407,21550.0,0.0,0.0,0.0,0.0,21550.0,0.0,0.0,0,0,0,0.0,
2024-01-02,CY408,21805.0,0.0,0.0,0.0,0.0,21805.0,0.0,0.0,0,0,0,0.0,
2024-01-02,CY409,21970.0,21950.0,22035.0,21950.0,22035.0,21985.0,65.0,15.0,7,63,6,76.94,
2024-01-02,CY410,21705.0,0.0,0.0,0.0,0.0,21705.0,0.0,0.0,0,0,0,0.0,
2024-01-02,CY411,22090.0,0.0,0.0,0.0,0.0,22090.0,0.0,0.0,0,2,0,0.0,
2024-01-02,CY412,21945.0,0.0,0.0,0.0,0.0,21945.0,0.0,0.0,0,0,0,0.0,
2024-01-02,FG401,1768.0,1775.0,1789.0,1750.0,1773.0,1775.0,5.0,7.0,1964,10271,-1418,6972.16,1767.0
2024-01-02,FG402,1840.0,1832.0,1842.0,1811.0,1826.0,1828.0,-14.0,-12.0,11673,58322,-3044,42678.64,
2024-01-02,FG403,1853.0,1867.0,1867.0,1821.0,1835.0,1838.0,-18.0,-15.0,3316,33377,-991,12188.41,
2024-01-02,FG404,1906.0,1908.0,1908.0,1866.0,1883.0,1885.0,-23.0,-21.0,3530,26901,-675,13307.31,
2024-01-02,FG405,1902.0,1880.0,1899.0,1859.0,1880.0,1881.0,-22.0,-21.0,644589,860259,-24774,2424411.5,
2024-01-02,FG406,1894.0,1888.0,1888.0,1851.0,1870.0,1877.0,-24.0,-17.0,538,8686,-281,2019.46,
2024-01-02,FG407,1864.0,1864.0,1874.0,1828.0,1844.0,1847.0,-20.0,-17.0,928,5980,-679,3427.93,
2024-01-02,FG408,1868.0,1850.0,1878.0,1833.0,1844.0,1852.0,-24.0,-16.0,813,11843,-627,3010.76,
2024-01-02,FG409,1845.0,1826.0,1840.0,1803.0,1822.0,1823.0,-23.0,-22.0,17793,158956,1049,64867.05,
