Date,Price,Inventory
2023-11,78.61,83.04
2023-10,85.05,82.84
2023-09,86.71,93.18
2023-08,86,94.13
2023-07,84.16,93.95
2023-06,82.17,92.89
2023-05,82.07,92.63
2023-04,81.02,86.23
2023-03,81.22,86.11
2023-02,84,85.24
2023-01,84.27,85.34
2022-12,83.46,85.44
2022-11,83.94,85.64
2022-10,83.61,85.26
2022-09,103.22,84.79
2022-08,111.4,84.72
2022-07,99.9,84.04
2022-06,139.4,82.95
2022-05,146.51,83.65
2022-04,140.04,87.35
2022-03,124.36,87.32
2022-02,124.46,88.66
2022-01,118.9,88.41
2021-12,109.53,88.58
2021-11,118.36,89.28
2021-10,107.98,90.3
2021-09,93.94,91.3
2021-08,93.3,91.78
2021-07,88.14,91.57
2021-06,85.27,93.05
2021-05,84.7,93.16
2021-04,83.17,98.41
2021-03,85.68,98.84
2021-02,86.44,98.92
2021-01,80.14,99.28
2020-12,73.61,99.42
2020-11,70.07,99.59
2020-10,68.34,99.21
2020-09,64.24,99.44
2020-08,63.56,100.56
2020-07,62.48,100.92
2020-06,60.83,100.56
2020-05,57.06,97.16
2020-04,52.79,80.28
2020-03,58.26,80.18
2020-02,67.23,79.99
2020-01,70.31,79.53
2019-12,66.51,79.69
2019-11,64.03,80.55
2019-10,63.53,80.73
2019-09,59.73,80.8
2019-08,59.56,80.27
2019-07,63.1,79.27
2019-06,65.38,77.53
2019-05,69.84,76.47
2019-04,77.4,81.05
2019-03,74.5,81.14
2019-02,72.12,81.05
2019-01,72.8,
2018-12,77.07,80.45
2018-11,77.05,80.39
2018-10,77.66,80.89
2018-09,80.9,83.79
2018-08,84.96,84.51
2018-07,87.29,84.96
2018-06,89.71,88.21
2018-05,85.74,88.21
2018-04,83.22,86.8
2018-03,82.63,87.7
2018-02,77.7,87.66
2018-01,80.21,87.64
2017-12,75.49,87.65
2017-11,69.37,88.67
2017-10,68.39,89.57
2017-09,71.11,89.57
2017-08,69.68,89.99
2017-07,69.74,90.27
2017-06,74.5,89.34
2017-05,79.4,89.52
2017-04,77.02,97.08
2017-03,77.1,97.09
2017-02,75.32,96.83
2017-01,73.22,96.89
2016-12,71.11,96.8
2016-11,70.54,96.91
2016-10,69.19,96.6
2016-09,68.52,98.55
2016-08,70.76,99.18
2016-07,69.25,100.27
2016-06,64,102.08
2016-05,62.12,102.84
2016-04,61.03,111.88
2016-03,57.96,111.88
2016-02,59.18,112.17
2016-01,62.21,112.07
2015-12,63.13,112.01
2015-11,61.69,111.94
2015-10,62.06,111.79
2015-09,61.6,110.91
2015-08,65.4,110.71
2015-07,65.54,110.96
2015-06,64.28,110.01
2015-05,65.4,110.25
2015-04,64.28,101.82
2015-03,62.5,101.71
2015-02,63.14,101.66
2015-01,59.63,101.66
2014-12,60.83,101.64
2014-11,61.06,101.48
2014-10,63.82,101.31
2014-09,66.54,100.3
2014-08,64.79,99.96
2014-07,71.22,100.56
2014-06,85.85,99
2014-05,90.29,97.91
2014-04,91.16,89.65
2014-03,91.53,89.16
2014-02,86.88,89.16
2014-01,85.11,89.17
2013-12,81.54,89.14
2013-11,76.91,88.06
2013-10,83.14,
2013-09,84.15,86.04
2013-08,87.13,86.35
