Date,Interest,USIndex,Silver,Dow,NFP,CPI,CO
2023-12-13,,102.95,24.12,37090.24,,,69.87
2023-12-12,5.33,103.81,23.06,36577.94,,,68.76
2023-12-11,5.33,104.08,23.13,36404.93,,,71.4
2023-12-08,5.33,104,23.29,36247.87,,,71.26
2023-12-07,5.33,103.65,24.12,36117.38,,,69.64
2023-12-06,5.33,104.18,24.23,36054.43,,,69.25
2023-12-05,5.33,103.95,24.52,36124.56,,,72.06
2023-12-04,5.33,103.64,24.9,36204.44,,,73.29
2023-12-01,5.33,103.2,25.9,36245.5,,,74.38
2023-11-30,5.33,103.51,25.69,35950.89,157087,307.05,75.61
2023-11-29,5.33,102.86,25.42,35430.42,,,77.72
2023-11-28,5.33,102.73,25.04,35416.98,,,76.58
2023-11-27,5.33,103.22,24.69,35333.47,,,75.02
2023-11-24,5.33,103.44,24.38,35390.15,,,75.18
2023-11-23,5.33,103.76,23.76,,,,76.35
2023-11-22,5.33,103.87,23.68,35273.03,,,76.82
2023-11-21,5.33,103.61,23.8,35088.29,,,77.81
2023-11-20,5.33,103.49,23.49,35151.04,,,77.59
2023-11-17,5.33,103.82,23.78,34947.28,,,76.08
2023-11-16,5.33,104.38,23.82,34945.47,,,72.9
2023-11-15,5.33,104.4,23.52,34991.21,,,76.58
2023-11-14,5.33,104.08,23.15,34827.7,,,78.21
2023-11-13,5.33,105.67,22.36,34337.87,,,78.51
2023-11-10,5.33,105.81,22.3,34283.1,,,77.35
2023-11-09,5.33,105.9,22.7,33891.94,,,75.58
2023-11-08,5.33,105.53,22.62,34112.27,,,75.59
2023-11-07,5.33,105.51,22.7,34152.6,,,77.13
2023-11-06,5.33,105.28,23.12,34095.86,,,80.92
2023-11-03,5.33,105.07,23.34,34061.32,,,80.89
2023-11-02,5.33,106.15,22.86,33839.08,,,82.48
2023-11-01,5.33,106.67,23.05,33274.58,,,80.9
2023-10-31,5.33,106.71,22.96,33052.87,156888,307.67,81.35
2023-10-30,5.33,106.14,23.46,32928.96,,,82.59
2023-10-27,5.33,106.58,23.24,32417.59,,,85.16
2023-10-26,5.33,106.62,22.93,32784.3,,,83.5
2023-10-25,5.33,106.54,23.01,33035.93,,,85.29
2023-10-24,5.33,106.25,23.06,33141.38,,,83.69
2023-10-23,5.33,105.6,23.12,32936.41,,,86.11
2023-10-20,5.33,106.15,23.53,33127.28,,,88.3
2023-10-19,5.33,106.23,23.2,33414.17,,,89.16
2023-10-18,5.33,106.55,23,33665.08,,,87.14
2023-10-17,5.33,106.2,22.97,33997.65,,,87.71
2023-10-16,5.33,106.22,22.78,33984.54,,,87.05
2023-10-13,5.33,106.7,22.9,33670.29,,,87.72
2023-10-12,5.33,106.56,21.98,33631.14,,,83.5
2023-10-11,5.33,105.72,22.2,33804.87,,,83.29
2023-10-10,5.33,105.77,22,33739.3,,,85.96
2023-10-09,5.33,106.08,22.02,33604.65,,,86.38
2023-10-06,5.33,106.13,21.76,33407.58,,,82.81
2023-10-05,5.33,106.34,21.12,33119.57,,,82.56
2023-10-04,5.33,106.78,21.17,33129.55,,,84.44
2023-10-03,5.33,107.09,21.34,33002.38,,,89.45
2023-10-02,5.33,107.02,21.24,33433.35,,,88.62
2023-09-30,,,,,156738,307.79,
2023-09-29,5.33,106.19,22.39,33507.5,,,90.77
2023-09-28,5.33,106.14,22.84,33666.34,,,91.81
2023-09-27,5.33,106.67,22.78,33550.27,,,93.71
2023-09-26,5.33,106.18,23.11,33618.88,,,90.54
2023-09-25,5.33,105.96,23.38,34006.88,,,89.88
2023-09-22,5.33,105.61,23.82,33963.84,,,90.33
