Date,Price,Inventory
2023/12/4,16350,46248
2023/12/1,16655,46314
2023/11/30,16335,46338
2023/11/29,16660,45468
2023/11/28,16455,44874
2023/11/27,15885,44875
2023/11/24,15935,44898
2023/11/23,16280,44586
2023/11/22,16430,44592
2023/11/21,16560,44142
2023/11/20,16635,44358
2023/11/17,16780,44316
2023/11/16,16960,44262
2023/11/15,17155,43512
2023/11/14,17005,43194
2023/11/13,17000,43374
2023/11/10,17170,42534
2023/11/9,17650,40674
2023/11/8,17865,40674
2023/11/7,17585,40092
2023/11/6,17865,40902
2023/11/3,17810,41826
2023/11/2,17785,43050
2023/11/1,17750,44784
2023/10/31,17825,44898
2023/10/30,18180,45144
2023/10/27,18000,45564
2023/10/26,17900,45564
2023/10/25,18150,44880
2023/10/24,17800,44880
2023/10/23,18135,44862
2023/10/20,18350,43194
2023/10/19,18285,43260
2023/10/18,18470,43320
2023/10/17,18160,42870
2023/10/16,18460,42870
2023/10/13,18335,42870
2023/10/12,18435,42984
2023/10/11,18260,43086
2023/10/10,18260,43110
2023/10/9,18610,43134
2023/10/6,18280,43134
2023/10/5,18205,42384
2023/10/4,18600,42174
2023/10/3,18405,42204
2023/10/2,18510,42204
2023/9/29,18510,42228
2023/9/28,18650,41982
2023/9/27,18700,41628
2023/9/26,18675,41328
2023/9/25,18950,41292
2023/9/22,19050,41292
2023/9/21,18955,41316
2023/9/20,19635,41040
2023/9/19,19360,40500
2023/9/18,19745,39960
2023/9/15,19950,38940
2023/9/14,20255,38742
2023/9/13,19485,38742
2023/9/12,19830,38280
2023/9/11,20050,38280
2023/9/8,19905,37980
2023/9/7,20130,37386
2023/9/6,20550,37416
2023/9/5,20800,37164
2023/9/4,20550,37170
2023/9/1,20475,37170
2023/8/31,20225,37194
2023/8/30,20235,37206
2023/8/29,20355,36936
2023/8/25,20900,36936
2023/8/24,20400,37008
2023/8/23,20525,37008
2023/8/22,20215,37014
2023/8/21,20050,37014
2023/8/18,19925,37038
2023/8/17,19850,37110
2023/8/16,19850,37170
2023/8/15,19685,37182
2023/8/14,19825,37014
2023/8/11,20000,37044
2023/8/10,20225,36924
2023/8/9,20450,36948
2023/8/8,20650,37044
2023/8/7,21250,37044
2023/8/4,20980,37110
2023/8/3,21300,36972
2023/8/2,21700,37206
2023/8/1,22355,37512
2023/7/31,21625,37536
2023/7/28,21650,37542
2023/7/27,21395,37590
2023/7/26,21575,37590
2023/7/25,21350,37614
2023/7/24,20605,37758
2023/7/21,20810,37518
2023/7/20,21155,37518
2023/7/19,20700,37560
2023/7/18,20600,36924
2023/7/17,20710,37308
2023/7/14,21305,37458
2023/7/13,21150,37482
2023/7/12,20950,37626
2023/7/11,20460,37878
2023/7/10,20685,37944
2023/7/7,20370,38208
2023/7/6,21135,38268
2023/7/5,20175,38364
2023/7/4,20300,38484
2023/7/3,20160,38508
2023/6/30,20125,38850
2023/6/29,19745,38904
2023/6/28,19855,39348
2023/6/27,20335,39348
2023/6/26,20560,39468
2023/6/23,20895,38868
2023/6/22,21210,39156
2023/6/21,21350,39156
2023/6/20,21830,37782
2023/6/19,22465,36810
2023/6/16,23140,37026
2023/6/15,22725,37110
2023/6/14,22155,37116
2023/6/13,21250,37704
2023/6/12,21100,37746
2023/6/9,21390,37230
2023/6/8,21110,37386
2023/6/7,21005,37386
2023/6/6,21050,37530
2023/6/5,20610,37590
2023/6/2,21490,37602
2023/6/1,20850,37686
2023/5/31,20450,37782
2023/5/30,21235,38172
2023/5/26,21450,38700
2023/5/25,21125,38916
2023/5/24,20900,39060
2023/5/23,20760,39060
2023/5/22,21275,39078
2023/5/19,21465,39174
2023/5/18,21275,39174
2023/5/17,21320,39198
2023/5/16,21400,39270
2023/5/15,22200,39294
2023/5/12,22285,39294
2023/5/11,22250,39252
2023/5/10,23035,39444
2023/5/9,23930,39912
2023/5/5,23800,40110
2023/5/4,25100,39630
2023/5/3,25100,39966
2023/5/2,24235,40014
2023/4/28,23770,39918
2023/4/27,23655,40032
2023/4/26,23650,40836
2023/4/25,23865,40908
2023/4/24,24130,41076
2023/4/21,24335,41124
2023/4/20,25540,41538
2023/4/19,24465,41736
2023/4/18,24960,41466
2023/4/17,24455,41490
2023/4/14,23210,41124
2023/4/13,23210,41100
2023/4/12,22890,41364
2023/4/11,22850,42150
2023/4/6,22500,42018
2023/4/5,22710,42174
2023/4/4,22910,43038
2023/4/3,23560,43068
2023/3/31,23100,44364
2023/3/30,23185,44460
2023/3/29,24200,44574
2023/3/28,23600,44208
2023/3/27,23875,44304
2023/3/24,22795,44454
2023/3/23,21895,43800
2023/3/22,22300,43884
2023/3/21,22550,44052
2023/3/20,22675,44502
2023/3/17,23210,44658
2023/3/16,22650,44796
2023/3/15,22750,43956
2023/3/14,23255,44142
2023/3/13,22625,43884
2023/3/10,22675,44064
2023/3/9,23225,43410
2023/3/8,23500,43772
2023/3/7,23960,44418
2023/3/6,24450,44628
2023/3/3,24405,44736
2023/3/2,24160,43884
2023/3/1,25025,44094
2023/2/28,24820,44148
2023/2/27,24600,44442
2023/2/24,24850,44580
2023/2/23,25600,44346
2023/2/22,26225,44514
2023/2/21,26600,44862
2023/2/20,25955,45054
2023/2/17,25600,45054
2023/2/16,25860,45432
2023/2/15,25805,46566
2023/2/14,26900,46710
2023/2/13,26755,47958
2023/2/10,27710,48072
2023/2/9,27050,48252
2023/2/8,27300,49188
2023/2/7,26810,49716
2023/2/6,27450,49728
2023/2/3,29110,49062
2023/2/2,28735,48672
2023/2/1,30060,49086
2023/1/31,29400,49374
2023/1/30,29535,49668
2023/1/27,29065,49542
2023/1/26,28750,50364
2023/1/25,28755,50508
2023/1/24,28110,50670
2023/1/23,27650,50838
2023/1/20,28650,51756
2023/1/19,28175,51960
2023/1/18,27510,52386
2023/1/17,26750,52638
2023/1/16,27100,53268
2023/1/13,27175,53262
2023/1/12,26475,53418
2023/1/11,27575,53994
2023/1/10,27700,54312
2023/1/9,27485,54528
2023/1/6,27465,54822
2023/1/5,28775,55032
2023/1/4,29750,55164
2023/1/3,31200,55380
2022/12/30,30425,55476
2022/12/29,30000,55092
2022/12/28,30505,54228
2022/12/23,29600,54300
2022/12/22,28650,54444
2022/12/21,28175,54216
2022/12/20,28400,54336
2022/12/19,27525,54360
2022/12/16,28850,53862
2022/12/15,28625,53958
2022/12/14,27850,53334
2022/12/13,28800,52878
2022/12/12,29310,53028
2022/12/9,29850,53226
2022/12/8,31075,52542
2022/12/7,28725,53652
2022/12/6,28250,54240
2022/12/5,28365,53202
2022/12/2,27145,53274
2022/12/1,26950,53124
2022/11/30,26500,52122
2022/11/29,26255,52170
2022/11/28,25250,52170
2022/11/25,25600,51732
2022/11/24,26160,51402
2022/11/23,25900,50778
2022/11/22,25700,49800
2022/11/21,24450,49470
2022/11/18,24850,49512
2022/11/17,26070,49500
2022/11/16,28555,49926
2022/11/15,29600,50022
2022/11/14,27005,50172
2022/11/11,26025,50304
2022/11/10,24420,50382
2022/11/9,24095,50412
2022/11/8,23410,50814
2022/11/7,22950,50790
2022/11/4,23735,51408
2022/11/3,23060,51432
2022/11/2,23360,51588
2022/11/1,22705,52026
2022/10/31,21750,52134
2022/10/28,22255,52884
2022/10/27,22250,52884
2022/10/26,22255,52908
2022/10/25,22075,52908
2022/10/24,22170,52908
2022/10/21,21550,52932
2022/10/20,21825,53910
2022/10/19,21620,53760
2022/10/18,21500,54270
2022/10/17,21460,53688
2022/10/14,21910,52698
2022/10/13,21920,52698
2022/10/12,21750,52728
2022/10/11,22400,52026
2022/10/10,22100,52026
2022/10/7,22360,52362
2022/10/6,22350,51420
2022/10/5,22275,51558
2022/10/4,21300,
2022/10/3,21575,
2022/9/30,22290,52758
2022/9/29,22900,51816
2022/9/28,21225,51792
2022/9/27,21890,51864
2022/9/26,22150,51804
2022/9/23,23135,52566
2022/9/22,24525,52248
2022/9/21,24860,52434
2022/9/20,24750,51408
2022/9/19,24610,51702
2022/9/16,23500,51690
2022/9/15,23310,51882
2022/9/14,23755,52464
2022/9/13,24655,53400
2022/9/12,23325,53532
2022/9/9,22200,53556
2022/9/8,21400,53850
2022/9/7,21450,54432
2022/9/6,21355,54342
2022/9/5,21000,54432
2022/9/2,20200,54498
2022/9/1,20525,54540
2022/8/31,21255,54612
2022/8/30,21385,54576
2022/8/26,21510,54846
2022/8/25,21250,55074
2022/8/24,21350,55230
2022/8/23,21780,55392
2022/8/22,21810,55728
2022/8/19,21575,55914
2022/8/18,21850,56010
2022/8/17,22035,56034
2022/8/16,22500,56346
2022/8/15,21850,56184
2022/8/12,23225,56118
2022/8/11,23110,56286
2022/8/10,21330,56244
2022/8/9,21355,56382
2022/8/8,21725,57252
2022/8/6,,57252
2022/8/5,22170,57624
2022/8/4,22035,57900
2022/8/3,22000,57900
2022/8/2,22825,57942
2022/8/1,24025,57978
