Date,Price,Inventory,ETF
2023-12-05,,1121460,433090850
2023-12-04,24.9,1103558,433090850
2023-12-01,25.9,1082981,433395600.9
2023-11-30,25.69,1068885,434128332.1
2023-11-29,25.42,1042954,436051776.7
2023-11-28,25.04,1030621,436051776.7
2023-11-27,24.69,1026080,440173542.7
2023-11-24,24.38,1018367,440173542.7
2023-11-23,23.76,1011235,
2023-11-22,23.68,1012484,441181140.5
2023-11-21,23.8,1016921,441730745.3
2023-11-20,23.49,1023576,441730745.3
2023-11-17,23.78,1036417,437104632.2
2023-11-16,23.82,1055255,438936776.2
2023-11-15,23.52,1063415,440768940.2
2023-11-14,23.15,1076989,441547613.3
2023-11-13,22.36,1104820,441547613.3
2023-11-10,22.3,1132535,441364385.7
2023-11-09,22.7,1126442,441364385.7
2023-11-08,22.62,1145409,440631456.1
2023-11-07,22.7,1149157,440631456.1
2023-11-06,23.12,1141060,440631456.1
2023-11-03,23.34,1107640,440631456.1
2023-11-02,22.86,1093557,440631456.1
2023-11-01,23.05,1094036,439993495.7
2023-10-31,22.96,1096690,441917671.1
2023-10-30,23.46,1080820,442833955.1
2023-10-27,23.24,1074696,443750271.1
2023-10-26,22.93,1056802,443750271.1
2023-10-25,23.01,1039192,444391710.5
2023-10-24,23.06,1037856,444391710.5
2023-10-23,23.12,1027815,444391710.5
2023-10-20,23.53,1081744,441871583
2023-10-19,23.2,1090168,441871583
2023-10-18,23,1089167,443521164.2
2023-10-17,22.97,1074590,444529250.4
2023-10-16,22.78,1069832,447736839.4
2023-10-13,22.9,1089119,449203220.2
2023-10-12,21.98,1117801,450394670.2
2023-10-11,22.2,1147684,451769438.2
2023-10-10,22,1176405,452594309.8
2023-10-09,22.02,1247582,452960924.2
2023-10-06,21.76,,451127784.2
2023-10-05,21.12,,451127784.2
2023-10-04,21.17,,450211188.2
2023-10-03,21.34,,448194650.6
2023-10-02,21.24,,441883365.3
2023-09-29,22.39,,441883365.3
2023-09-28,22.84,1251025,441883365.3
2023-09-27,22.78,1239164,442066706.5
2023-09-26,23.11,1214992,449033793.7
2023-09-25,23.38,1223418,448392074.3
2023-09-22,23.82,1216131,449492212.7
2023-09-21,23.68,1232511,449492212.7
2023-09-20,23.52,1251767,449033811.7
2023-09-19,23.48,1286941,450133990.9
2023-09-18,23.52,1313605,450133990.9
2023-09-15,23.3,1331931,441332115.7
2023-09-14,22.94,1341382,439681746.1
2023-09-13,23.13,1352974,440736165
2023-09-12,23.37,1366976,440736165
2023-09-11,23.38,1373336,439727561.8
2023-09-08,23.2,1377059,439727561.8
2023-09-07,23.25,1388580,436518194.8
2023-09-06,23.5,1382263,436518194.8
2023-09-05,23.88,1401293,436518194.8
2023-09-04,24.34,1387944,
2023-09-01,24.54,1389297,437891634.3
2023-08-31,24.82,1381221,438625277.5
2023-08-30,24.66,1373074,440000879.5
2023-08-29,24.78,1362427,443210638.5
2023-08-28,24.28,1364686,445044810.5
2023-08-25,24.28,1344447,444861385.7
2023-08-24,24.18,1351767,446145376.1
2023-08-23,24.38,1365137,448896808.1
2023-08-22,23.47,1397467,450547681.7
2023-08-21,23.38,1414482,451373123.9
2023-08-18,22.8,1426366,451373123.9
2023-08-17,22.74,1424868,452290329.9
2023-08-16,22.46,1433367,452290329.9
2023-08-15,22.58,1442076,452290329.9
2023-08-14,22.66,1461861,452290329.9
2023-08-11,22.74,1484350,452565514.5
2023-08-10,22.76,1492510,452106867.5
2023-08-09,22.73,1510038,451556483.9
2023-08-08,22.84,1511924,450180500.9
2023-08-07,23.2,1510582,448987964.1
2023-08-04,23.72,1537355,448987964.1
2023-08-03,23.68,1557845,448987964.1
2023-08-02,23.82,1559531,451281464.1
2023-08-01,24.43,1555416,451471391.2
2023-07-31,24.9,1560785,451746617.8
2023-07-28,24.48,1583420,451746617.8
2023-07-27,24.28,1572990,451930114.2
2023-07-26,25.1,1561728,452480608.2
2023-07-25,24.86,1570136,452480608.2
2023-07-24,24.52,1552001,452480608.2
2023-07-21,24.78,1562593,453306406.8
2023-07-20,24.95,1563297,453306406.8
2023-07-19,25.35,1376224,454407505.2
2023-07-18,25.27,1369799,455875655.6
2023-07-17,25.06,1376954,455875655.6
2023-07-14,25.16,1369289,458445053.2
2023-07-13,25.1,1380693,460739183.2
2023-07-12,24.34,1389268,462941562.4
2023-07-11,23.32,1406199,462941562.4
2023-07-10,23.34,1409499,464822810.5
2023-07-07,23.28,1417182,464822810.5
2023-07-06,22.92,1436257,466474728.1
2023-07-05,23.34,1451069,466474728.1
2023-07-04,23.18,1455517,
2023-07-03,23.11,1456726,468141099.6
2023-06-30,22.98,1447932,468141099.6
2023-06-29,22.77,1452904,468141099.6
2023-06-28,22.74,1458208,466764357.6
2023-06-27,22.91,1463108,470527518
2023-06-26,22.82,1488239,470527518
2023-06-23,22.46,,469793207.6
2023-06-22,22.28,,469793207.6
2023-06-21,22.7,1500865,468967077.8
2023-06-20,23.21,1521632,468967077.8
2023-06-19,24.02,1519623,
2023-06-16,24.27,1519076,463183715.6
2023-06-15,23.96,1499304,463642716.6
2023-06-14,24.01,1476069,463642716.6
2023-06-13,23.74,1477667,465019764.6
2023-06-12,24.15,1459231,465754201.4
2023-06-09,24.4,1470692,467269040
2023-06-08,24.36,1480571,467269040
2023-06-07,23.52,1489390,467819903.6
2023-06-06,23.68,1497180,467819903.6
2023-06-05,23.66,1501673,466809960.6
2023-06-02,23.7,1500329,466809960.6
2023-06-01,23.98,1509719,467015118.2
2023-05-31,23.62,1513297,467933308.2
2023-05-30,23.29,1513534,467933308.2
2023-05-29,23.31,1522418,
2023-05-26,23.44,1518835,468300609
2023-05-25,22.85,1502049,468300609
2023-05-24,23.17,1510409,471606417
2023-05-23,23.58,1535557,471330930
2023-05-22,23.79,1679813,471330930
2023-05-19,24.02,1660682,468529974.7
2023-05-18,23.66,1691044,468529974.7
2023-05-17,23.94,1699317,468529974.7
2023-05-16,23.92,1730035,469448358.7
2023-05-15,24.26,1771250,469448358.7
2023-05-12,24.13,1810093,470091263.9
2023-05-11,24.36,1791394,470091263.9
2023-05-10,25.62,1801054,469448333.5
2023-05-09,25.86,1805094,466968426.7
2023-05-08,25.8,1816204,465682529.5
2023-05-05,25.93,1802334,465682529.5
2023-05-04,26.34,1810850,466876641.9
2023-05-03,25.88,,467244065.9
2023-05-02,25.65,,467070137.5
2023-05-01,25.24,,468264296.7
2023-04-28,25.34,1835772,468264296.7
2023-04-27,24.96,1836837,469182936.7
2023-04-26,24.95,1850547,469182936.7
2023-04-25,25.06,1852623,470285331.1
2023-04-24,25.24,1840916,471387742.3
2023-04-21,25.16,1849934,463440866.2
2023-04-20,25.36,1856725,464083977.2
2023-04-19,25.37,1873919,465002713.2
2023-04-18,25.29,1881633,465002713.2
2023-04-17,25.13,1890165,467023998.4
2023-04-14,25.46,1863585,469780428.4
2023-04-13,25.96,1856382,470974894.4
2023-04-12,25.63,1869880,470974894.4
2023-04-11,25.19,1853564,470239820.8
2023-04-10,25.01,1859541,468585883.6
2023-04-07,,1855838,
2023-04-06,25.13,1871827,468585883.6
2023-04-05,25.09,,468585883.6
2023-04-04,25.18,1873910,466380461.2
2023-04-03,24.1,1859530,463942222.4
2023-03-31,24.24,1852347,465412584
2023-03-30,24.04,1856579,465412584
2023-03-29,23.47,1859302,460633825.6
2023-03-28,23.48,1851290,460082425.6
2023-03-27,23.22,1845446,458887710
2023-03-24,23.36,1836927,459255330.8
2023-03-23,23.22,1830683,459485096.3
2023-03-22,23.12,1841605,458841748.7
2023-03-21,22.52,1837912,459393197.9
2023-03-20,22.67,1832411,458566013.3
2023-03-17,22.75,1837752,459347270.4
2023-03-16,21.81,1839314,462748088.4
2023-03-15,21.92,1836091,473226444
2023-03-14,21.79,1865267,478235876.9
2023-03-13,21.91,1869689,477592457.9
2023-03-10,20.6,1887316,478879337.9
2023-03-09,20.13,1912559,478879337.9
2023-03-08,20.1,1947143,478879337.9
2023-03-07,20.14,1985134,477684323.3
2023-03-06,21.14,1998065,478143951.3
2023-03-03,21.38,1999509,479063245.3
2023-03-02,20.98,2021731,479063245.3
2023-03-01,21.08,2014014,477694767.8
2023-02-28,21.02,2015631,478614089.8
2023-02-27,20.74,2031166,481188236.2
2023-02-24,20.74,2021096,482429401.9
2023-02-23,21.32,2032206,483900445.1
2023-02-22,21.5,2020484,487072444.1
2023-02-21,21.86,2038602,485693299.1
2023-02-20,21.82,2029463,
2023-02-17,21.72,2049072,486382904.6
2023-02-16,21.56,2059253,484819771.6
2023-02-15,21.62,2073235,483992219.8
2023-02-14,21.85,2081856,483302582.8
2023-02-13,22,2102325,483302582.8
2023-02-10,22,2117384,483762367.8
2023-02-09,21.98,2113717,483762367.8
2023-02-08,22.34,2127818,483762367.8
2023-02-07,22.19,2161983,480543739.8
2023-02-06,22.3,2176013,477968798.2
2023-02-03,22.4,2173900,476497335.8
2023-02-02,23.54,2176504,476313400.2
2023-02-01,24.08,2194331,476514675.5
2023-01-31,23.82,2184261,477526338.9
2023-01-30,23.69,2180899,478813941.3
2023-01-27,23.72,,480193575.3
2023-01-26,24.02,,480193575.3
2023-01-25,24.03,,480193575.3
2023-01-24,23.79,,479365760.7
2023-01-23,23.56,,477250206.9
2023-01-20,24.06,2182121,458853326.9
2023-01-19,23.98,2160109,457565534.1
2023-01-18,23.59,2153102,458255438.1
2023-01-17,24.08,2126627,462670881.3
2023-01-16,24.44,2106380,
2023-01-13,24.42,2116613,465752646.8
2023-01-12,23.92,2100143,468052506.8
2023-01-11,23.54,2091718,468052506.8
2023-01-10,23.72,2111842,468052506.8
2023-01-09,23.79,2108503,468926489.7
2023-01-06,23.98,2126857,468926489.7
2023-01-05,23.38,2147038,465982393.7
2023-01-04,23.92,2151122,465062347.7
2023-01-03,24.18,2154548,466265146.2
2023-01-02,24.18,,
2022-12-30,24.18,2150944,467461278.8
2022-12-29,24.12,2126769,468565415.6
2022-12-28,23.72,2080412,468565415.6
2022-12-27,24.24,2072862,467001181
2022-12-26,23.92,2061533,
2022-12-23,23.92,2038180,467507284.4
2022-12-22,23.74,2028141,467507284.4
2022-12-21,24.2,2016175,467507284.4
2022-12-20,24.4,2008214,469347736.4
2022-12-19,23.18,1993818,468703572.6
2022-12-16,23.41,1990943,467737293.3
2022-12-15,23.28,1984921,467737293.3
2022-12-14,24.17,1817068,469439844.6
2022-12-13,23.96,1798681,471280464.6
2022-12-12,23.51,1784775,473029076.4
2022-12-09,23.68,1774805,473581291.2
2022-12-08,23.28,1758792,475606100.8
2022-12-07,22.9,1737404,474041454.8
2022-12-06,22.35,1721261,474041454.8
2022-12-05,22.43,1711238,474961862.8
2022-12-02,23.36,1707361,475606173.6
2022-12-01,22.97,1681461,477539885.5
2022-11-30,22.4,1689552,478828529.5
2022-11-29,21.42,1687985,479288763.5
2022-11-28,20.9,1670680,479656956.3
